# (r)  (h(r))
0.0 20969.5629941
0.005 3415.35804305
0.01 1305.2903021
0.015 739.215823385
0.02 489.614836746
0.025 339.485646754
0.03 257.158324983
0.035 204.474055948
0.04 160.981209625
0.045 130.161565297
0.05 115.807423881
0.055 95.2409164237
0.06 83.2567212803
0.065 69.7146100963
0.07 60.4018827533
0.075 53.3050922485
0.08 46.840543278
0.085 41.2101596837
0.09 36.4835650818
0.095 31.6430126696
0.1 28.1965613261
0.105 25.8519108579
0.11 23.5079708254
0.115 21.3162589097
0.12 19.6401140433
0.125 18.4010278783
0.13 15.5661106657
0.135 14.3885422262
0.14 13.1834285279
0.145 12.1310472813
0.15 11.207994583
0.155 10.1501034442
0.16 9.3760882999
0.165 8.3867034339
0.17 7.91536449689
0.175 7.25781251962
0.18 6.44770225468
0.185 5.94800105921
0.19 5.45666641751
0.195 4.98488293571
0.2 4.7829639797
0.205 4.50990505935
0.21 4.08818396288
0.215 3.64638164902
0.22 3.40928786025
0.225 3.07325526251
0.23 2.91679488282
0.235 2.71818450069
0.24 2.43508204687
0.245 2.3579531152
0.25 2.15476983524
0.255 2.05235388391
0.26 1.8880033772
0.265 1.81625381541
0.27 1.51968146833
0.275 1.5066014302
0.28 1.40675729823
0.285 1.26612304096
0.29 1.17112787585
0.295 1.09174178246
0.3 1.04808382918
0.305 0.962731184907
0.31 0.895814181097
0.315 0.854061835247
0.32 0.783466791365
0.325 0.754604283889
0.33 0.652929827286
0.335 0.621838709938
0.34 0.600295428084
0.345 0.565569143327
0.35 0.543851594302
0.355 0.479671979234
0.36 0.476921700531
0.365 0.424394002485
0.37 0.392840311934
0.375 0.354816774313
0.38 0.349146256267
0.385 0.326796924525
0.39 0.304752652088
0.395 0.281088227491
0.4 0.260786080831
0.405 0.252246369353
0.41 0.234130105648
0.415 0.217917151462
0.42 0.205870077648
0.425 0.180394556345
0.43 0.180883958717
0.435 0.155893245251
0.44 0.159467183443
0.445 0.143390598488
0.45 0.13365815612
0.455 0.125110898873
0.46 0.117305083994
0.465 0.105555050134
0.47 0.10817989215
0.475 0.0941929476074
0.48 0.0865903530295
0.485 0.0794290261876
0.49 0.0784439370608
