# (r)  (h(r))
0.0 95755.5715112
0.005 13210.4286871
0.01 4469.4398949
0.015 2146.33345214
0.02 1259.61924082
0.025 824.928299279
0.03 530.554007359
0.035 403.796809019
0.04 293.925533656
0.045 227.784088842
0.05 164.939936775
0.055 137.305433651
0.06 112.200099057
0.065 94.5859899883
0.07 80.4849944392
0.075 63.1872095981
0.08 51.7082730991
0.085 44.142725883
0.09 39.9542775079
0.095 32.8123235932
0.1 27.9283853303
0.105 22.6546923808
0.11 20.4859232812
0.115 17.0902315197
0.12 16.8782345576
0.125 13.1421941882
0.13 12.1043090617
0.135 11.2825729749
0.14 9.05250309107
0.145 7.67118463363
0.15 7.12397217389
0.155 6.36519949687
0.16 5.64791418819
0.165 5.11096538479
0.17 4.88596261888
0.175 4.06442296016
0.18 3.7466249839
0.185 3.20048256191
0.19 3.21445083327
0.195 2.75412090972
0.2 2.5421421673
0.205 2.24919344623
0.21 2.10436477184
0.215 1.99097235067
0.22 1.73735326772
0.225 1.69618330639
0.23 1.4028299548
0.235 1.18237271193
0.24 1.20086596736
0.245 1.03681955689
0.25 0.905518026246
0.255 0.864149982884
0.26 0.750070553959
0.265 0.616129398443
0.27 0.672012330187
0.275 0.620187385228
0.28 0.510978540323
0.285 0.505192328736
0.29 0.501582021139
0.295 0.440605786367
0.3 0.352251277084
0.305 0.373666601485
0.31 0.295470816783
0.315 0.288561393911
0.32 0.274477354841
0.325 0.246588108678
0.33 0.244951694912
0.335 0.199815860837
0.34 0.189893226276
0.345 0.184291911861
0.35 0.161280669176
0.355 0.160225718983
0.36 0.1329937959
0.365 0.119475043962
0.37 0.118143718067
0.375 0.108187704179
0.38 0.0896456525542
0.385 0.088169409296
0.39 0.0920587086024
0.395 0.0853515366328
0.4 0.0804992232131
0.405 0.0605607227219
0.41 0.0644286926469
0.415 0.0563747232508
0.42 0.0487518991535
0.425 0.0520441873698
0.43 0.0439940252727
0.435 0.0416779933295
0.44 0.0369058537346
0.445 0.030786547369
0.45 0.0335620297849
0.455 0.0306701971129
0.46 0.0279205524291
0.465 0.0242808576392
0.47 0.0198019925261
0.475 0.0186387851749
0.48 0.0205774576282
0.485 0.0200409311523
0.49 0.0199272288445
